torch_name,onnx_name
backbone.downsample.norm.bias,b1.a26.bias
backbone.upsample.linear1.weight,onnx::MatMul_9787
backbone.upsample.linear2.weight,onnx::MatMul_9788
backbone.upsample.norm.weight,b1.a125.weight
backbone.upsample.norm.bias,b1.a125.bias
_output_layer.conv.weight,b1.a142.weight
_output_layer.conv.bias,b1.a142.bias
_output_layer.conv_surface.weight,b1.a143.weight
_output_layer.conv_surface.bias,b1.a143.bias
backbone._input_layer.const_h,/b1/Constant_17
backbone._input_layer.surface_mean,/b1/Constant_11
backbone._input_layer.surface_std,/b1/Constant_12
backbone._input_layer.upper_mean,/b1/Constant_9
backbone._input_layer.upper_std,/b1/Constant_10
backbone._input_layer.constant_maps,/b1/Constant_44
